Tipo Titulo;Data Vencimento;Data Base;Taxa Compra Manha;Taxa Venda Manha;PU Compra Manha;PU Venda Manha;PU Base Manha
Tesouro IPCA+ com Juros Semestrais;15/05/2035;17/02/2025;7,4;7,52;4067,29;4030,31;4030,31
Tesouro IPCA+ com Juros Semestrais;15/08/2050;17/02/2025;7,23;7,35;3819,54;3763,83;3763,83
Tesouro IPCA+ com Juros Semestrais;15/08/2030;17/02/2025;7,44;7,56;4150,89;4126,02;4126,02
Tesouro IPCA+;15/08/2050;17/02/2025;7,16;7,28;765,28;743,33;743,33
Tesouro IPCA+;15/05/2029;17/02/2025;7,36;7,48;3273,72;3255,92;3255,92
Tesouro IPCA+;15/08/2040;17/02/2025;7,17;7,29;1518,37;1491,3;1491,3
Tesouro IPCA+;15/05/2035;17/02/2025;7,4;7,52;2134,62;2108,91;2108,91
Tesouro IPCA+;15/05/2045;17/02/2025;7,2;7,32;1089,63;1064,58;1064,58
;;;;;;;
Tesouro IGPM+ com Juros Semestrais;01/01/2031;17/02/2025;7,44;7,56;8011,36;7968,1;7968,1
Tesouro Prefixado com Juros Semestrais;01/01/2029;17/02/2025;14,48;14,6;892,53;889,06;889,06
Tesouro Prefixado com Juros Semestrais;01/01/2033;17/02/2025;14,42;14,54;820,56;815,6;815,6
Tesouro Prefixado com Juros Semestrais;01/01/2031;17/02/2025;14,56;14,68;848,22;843,89;843,89
Tesouro Prefixado com Juros Semestrais;01/01/2027;17/02/2025;14,64;14,76;944,19;941,98;941,98
Tesouro Prefixado com Juros Semestrais;01/01/2035;17/02/2025;14,46;14,58;795,06;789,7;789,7
Tesouro Renda+ Aposentadoria Extra;15/12/2084;17/02/2025;7,17;7,29;154,13;146,06;146,06
Tesouro Renda+ Aposentadoria Extra;15/12/2064;17/02/2025;7,15;7,27;613,74;594,72;594,72
Tesouro Renda+ Aposentadoria Extra;15/12/2079;17/02/2025;7,17;7,29;217,44;207,22;207,22
Tesouro Renda+ Aposentadoria Extra;15/12/2054;17/02/2025;7,2;7,32;1209,21;1184,87;1184,87
Tesouro Renda+ Aposentadoria Extra;15/12/2074;17/02/2025;7,15;7,27;308,93;296,05;296,05
Tesouro Renda+ Aposentadoria Extra;15/12/2059;17/02/2025;7,16;7,28;863,1;841,02;841,02
Tesouro Renda+ Aposentadoria Extra;15/12/2069;17/02/2025;7,14;7,26;436,77;420,88;420,88
Tesouro Renda+ Aposentadoria Extra;15/12/2049;17/02/2025;7,27;7,39;1694,38;1669,57;1669,57
Tesouro Educa+;15/12/2041;17/02/2025;7,21;7,33;1641,09;1614,13;1614,13
Tesouro Educa+;15/12/2043;17/02/2025;7,18;7,3;1435,07;1408,35;1408,35
Tesouro Educa+;15/12/2038;17/02/2025;7,33;7,45;1994,69;1968,5;1968,5
Tesouro Educa+;15/12/2030;17/02/2025;7,42;7,54;3491,61;3476,54;3476,54
Tesouro Educa+;15/12/2036;17/02/2025;7,41;7,53;2279,81;2254,89;2254,89
Tesouro Educa+;15/12/2037;17/02/2025;7,37;7,49;2131,52;2105,88;2105,88
Tesouro Educa+;15/12/2042;17/02/2025;7,19;7,31;1535,56;1508,65;1508,65
Tesouro Educa+;15/12/2039;17/02/2025;7,29;7,41;1867,99;1841,42;1841,42
Tesouro Educa+;15/12/2044;17/02/2025;7,18;7,3;1339,36;1312,96;1312,96
Tesouro Educa+;15/12/2034;17/02/2025;7,46;7,58;2619,69;2596,83;2596,83
Tesouro Educa+;15/12/2035;17/02/2025;7,44;7,56;2442,26;2418,26;2418,26
Tesouro Educa+;15/12/2032;17/02/2025;7,45;7,57;3024,5;3004,78;3004,78
Tesouro Educa+;15/12/2033;17/02/2025;7,45;7,57;2816,02;2794,56;2794,56
Tesouro Educa+;15/12/2045;17/02/2025;7,19;7,31;1248,02;1222,06;1222,06
Tesouro Educa+;15/12/2040;17/02/2025;7,24;7,36;1752,39;1725,54;1725,54
Tesouro Educa+;15/12/2047;17/02/2025;7,19;7,31;1087,3;1062,32;1062,32
Tesouro Educa+;15/12/2031;17/02/2025;7,43;7,55;3251,02;3233,4;3233,4
Tesouro Educa+;15/12/2046;17/02/2025;7,19;7,31;1164,84;1139,35;1139,35
Tesouro Selic;01/03/2029;14/02/2025;0,1;0,11;16001,71;15987,36;15987,36
Tesouro Selic;01/03/2031;14/02/2025;0,12;0,13;15950,73;15933,24;15933,24
;;;;;;;
;;;;;;;
Tesouro Selic;01/03/2028;14/02/2025;0,05;0,06;16041,48;16028,68;16028,68
Tesouro Selic;01/03/2027;14/02/2025;0,04;0,05;16054,11;16042,92;16042,92
Tesouro Prefixado;01/01/2028;14/02/2025;14,79;14,91;674,28;671,9;671,9
Tesouro Prefixado;01/01/2031;14/02/2025;14,84;14,96;446,36;443,41;443,41
Tesouro Prefixado;01/01/2032;14/02/2025;14,86;14,98;388,22;385,25;385,25
Tesouro Prefixado;01/01/2029;14/02/2025;14,83;14,95;587,91;585,23;585,23
;;;;;;;
Tesouro Prefixado;01/01/2027;14/02/2025;14,86;14,98;772,71;770,78;770,78
Tesouro IPCA+ com Juros Semestrais;15/05/2055;14/02/2025;7,36;7,48;3788,16;3729,65;3729,65
Tesouro IPCA+ com Juros Semestrais;15/05/2035;14/02/2025;7,57;7,69;4016,29;3977,77;3977,77
;;;;;;;
Tesouro IPCA+ com Juros Semestrais;15/05/2045;14/02/2025;7,42;7,54;3858,69;3806,28;3806,28
Tesouro IPCA+ com Juros Semestrais;15/08/2032;14/02/2025;7,65;7,77;4023,84;4121,82;4121,82
Tesouro IPCA+ com Juros Semestrais;15/08/2060;14/02/2025;7,39;7,51;3679,97;3750,67;3750,67
Tesouro IPCA+ com Juros Semestrais;15/08/2040;14/02/2025;7,38;7,5;3883,92;3966,44;3966,44
Tesouro IPCA+ com Juros Semestrais;15/08/2030;14/02/2025;7,58;7,7;4122,42;4225,73;4225,73
Tesouro IPCA+ com Juros Semestrais;15/08/2050;14/02/2025;7,4;7,52;3742,15;3816,34;3816,34
;;;;;;;
Tesouro IPCA+;15/08/2050;14/02/2025;7,34;7,46;732,87;711,5;711,5
Tesouro IPCA+;15/08/2040;14/02/2025;7,3;7,42;1489,17;1461,86;1461,86
Tesouro IPCA+;15/05/2029;14/02/2025;7,48;7,6;3255,92;3236,5;3236,5
Tesouro IPCA+;15/05/2045;14/02/2025;7,39;7,51;1050,71;1026,04;1026,04
Tesouro Educa+;15/12/2040;13/01/2025;7,28;7,4;1726,2;1700,09;1700,09
Tesouro Educa+;15/12/2046;13/01/2025;7,29;7,41;1132,7;1108,14;1108,14
Tesouro Educa+;15/12/2041;13/01/2025;7,24;7,36;1618,14;1591,89;1591,89
Tesouro Educa+;15/12/2039;13/01/2025;7,35;7,47;1836,48;1810,72;1810,72
Tesouro Educa+;15/12/2044;13/01/2025;7,23;7,35;1315,33;1289,67;1289,67
Tesouro Educa+;15/12/2031;13/01/2025;7,8;7,92;3170,7;3154,17;3154,17
Tesouro Educa+;15/12/2043;13/01/2025;7,21;7,33;1414,25;1388,2;1388,2
Tesouro Educa+;15/12/2042;13/01/2025;7,21;7,33;1515,85;1489,59;1489,59
Tesouro Educa+;15/12/2034;13/01/2025;7,68;7,8;2554,53;2532,77;2532,77
Tesouro Educa+;15/12/2036;13/01/2025;7,56;7,68;2227,52;2203,64;2203,64
Tesouro Selic;01/03/2029;10/01/2025;0,11;0,12;15806,34;15792,54;15792,54
;;;;;;;
;;;;;;;
Tesouro Selic;01/03/2027;10/01/2025;0,05;0,06;15862,85;15852,2;15852,2
Tesouro Prefixado;01/01/2029;10/01/2025;15,19;15,31;572,79;570,12;570,12
Tesouro Prefixado;01/01/2031;10/01/2025;15,08;15,2;434,86;431,94;431,94
;;;;;;;
Tesouro Prefixado;01/01/2027;10/01/2025;15,31;15,43;756,34;754,37;754,37
Tesouro IPCA+ com Juros Semestrais;15/05/2035;10/01/2025;7,54;7,66;3984,27;3947,57;3947,57
Tesouro IPCA+ com Juros Semestrais;15/08/2032;10/01/2025;7,72;7,84;4096,16;4065,86;4065,86
Tesouro IPCA+ com Juros Semestrais;15/08/2030;10/01/2025;7,73;7,85;4182,67;4157,74;4157,74
Tesouro IPCA+ com Juros Semestrais;15/08/2040;10/01/2025;7,24;7,36;4025,21;3978,59;3978,59
Tesouro IPCA+ com Juros Semestrais;15/05/2055;10/01/2025;7,32;7,44;3768,88;3711,94;3711,94
;;;;;;;
Tesouro IPCA+ com Juros Semestrais;15/05/2045;10/01/2025;7,32;7,44;3860,59;3809,39;3809,39
Tesouro IPCA+ com Juros Semestrais;15/08/2050;10/01/2025;7,34;7,46;3860,08;3805,38;3805,38
;;;;;;;
Tesouro IPCA+;15/05/2035;10/01/2025;7,5;7,62;2091,76;2066,29;2066,29
Tesouro IPCA+;15/05/2045;10/01/2025;7,25;7,37;1068,1;1043,41;1043,41
Tesouro IPCA+;15/05/2029;10/01/2025;7,76;7,88;3187,52;3169,75;3169,75
Tesouro IGPM+ com Juros Semestrais;01/01/2031;10/01/2025;7,72;7,84;7836,46;7789,94;7789,94
Tesouro Prefixado com Juros Semestrais;01/01/2031;10/01/2025;15,14;15,26;817,77;813,53;813,53
Tesouro Prefixado com Juros Semestrais;01/01/2027;10/01/2025;15,25;15,37;922,03;919,76;919,76
Tesouro Prefixado com Juros Semestrais;01/01/2035;10/01/2025;14,8;14,92;770,16;764,92;764,92
Tesouro Prefixado com Juros Semestrais;01/01/2029;10/01/2025;15,24;15,36;861,15;857,72;857,72
Tesouro Prefixado com Juros Semestrais;01/01/2033;10/01/2025;14,94;15,06;789,8;784,97;784,97
Tesouro Renda+ Aposentadoria Extra;15/12/2069;10/01/2025;7,25;7,37;418,02;402,79;402,79
Tesouro Renda+ Aposentadoria Extra;15/12/2064;10/01/2025;7,26;7,38;590,41;572,06;572,06
Tesouro Renda+ Aposentadoria Extra;15/12/2054;10/01/2025;7,25;7,37;1186,76;1162,73;1162,73
Tesouro Renda+ Aposentadoria Extra;15/12/2074;10/01/2025;7,23;7,35;297,28;284,85;284,85
Tesouro Renda+ Aposentadoria Extra;15/12/2059;10/01/2025;7,24;7,36;839,81;818,24;818,24
Tesouro Renda+ Aposentadoria Extra;15/12/2079;10/01/2025;7,23;7,35;210,11;200,21;200,21
Tesouro Renda+ Aposentadoria Extra;15/12/2049;10/01/2025;7,33;7,45;1664,72;1640,16;1640,16
Tesouro Renda+ Aposentadoria Extra;15/12/2084;10/01/2025;7,23;7,35;148,52;140,74;140,74
Tesouro Educa+;15/12/2044;10/01/2025;7,16;7,28;1329,62;1303,22;1303,22
Tesouro Educa+;15/12/2034;10/01/2025;7,64;7,76;2560,25;2537,58;2537,58
Tesouro Educa+;15/12/2041;10/01/2025;7,18;7,3;1630,36;1603,35;1603,35
Tesouro Educa+;15/12/2037;10/01/2025;7,44;7,56;2094,79;2069,31;2069,31
Tesouro Educa+;15/12/2031;10/01/2025;7,76;7,88;3174,26;3156,64;3156,64
Tesouro Educa+;15/12/2042;10/01/2025;7,15;7,27;1528,15;1501,15;1501,15
Tesouro Educa+;15/12/2039;10/01/2025;7,3;7,42;1846,15;1819,64;1819,64
Tesouro Educa+;15/12/2043;10/01/2025;7,15;7,27;1426,53;1399,76;1399,76
Tesouro Educa+;15/12/2038;10/01/2025;7,37;7,49;1965,29;1939,22;1939,22
Tesouro Educa+;15/12/2030;10/01/2025;7,76;7,88;3418,54;3403,33;3403,33
Tesouro Educa+;15/12/2036;10/01/2025;7,52;7,64;2234,19;2209,48;2209,48
Tesouro Educa+;15/12/2035;10/01/2025;7,59;7,71;2388,41;2364,64;2364,64
Tesouro Educa+;15/12/2032;10/01/2025;7,75;7,87;2948,39;2928,78;2928,78
Tesouro Educa+;15/12/2033;10/01/2025;7,69;7,81;2747,13;2725,84;2725,84
Tesouro Educa+;15/12/2045;10/01/2025;7,19;7,31;1234,96;1209,1;1209,1
Tesouro Educa+;15/12/2046;10/01/2025;7,22;7,34;1146,47;1121,23;1121,23
Tesouro Educa+;15/12/2040;10/01/2025;7,23;7,35;1736,11;1709,26;1709,26
;;;;;;;
Tesouro Selic;01/03/2027;09/01/2025;0,05;0,06;15855,91;15845,24;15845,24
Tesouro Selic;01/03/2029;09/01/2025;0,11;0,12;15799,72;15785,93;15785,93
;;;;;;;
Tesouro Prefixado;01/01/2031;09/01/2025;15,05;15,17;435,29;432,37;432,37
Tesouro Prefixado;01/01/2027;09/01/2025;15,28;15,4;756,3;754,33;754,33
;;;;;;;
Tesouro Prefixado;01/01/2029;09/01/2025;15,19;15,31;572,47;569,8;569,8
Tesouro IPCA+ com Juros Semestrais;15/08/2050;09/01/2025;7,29;7,41;3879,58;3825,66;3825,66
Tesouro IPCA+ com Juros Semestrais;15/05/2055;09/01/2025;7,26;7,38;3794,06;3737,7;3737,7
Tesouro IPCA+ com Juros Semestrais;15/08/2032;09/01/2025;7,67;7,79;4104,91;4075,85;4075,85
;;;;;;;
Tesouro IPCA+ com Juros Semestrais;15/05/2045;09/01/2025;7,26;7,38;3882,65;3832,26;3832,26
Tesouro IPCA+ com Juros Semestrais;15/08/2040;09/01/2025;7,17;7,29;4048,44;4002,73;4002,73
Tesouro IPCA+ com Juros Semestrais;15/08/2030;09/01/2025;7,66;7,78;4192,71;4169,05;4169,05
Tesouro IPCA+ com Juros Semestrais;15/05/2035;09/01/2025;7,51;7,63;3990,23;3954,74;3954,74
;;;;;;;
Tesouro IPCA+;15/05/2035;09/01/2025;7,48;7,6;2094,46;2069,62;2069,62
Tesouro IPCA+;15/05/2045;09/01/2025;7,2;7,32;1077,55;1052,98;1052,98
Tesouro IPCA+;15/05/2029;09/01/2025;7,67;7,79;3196,99;3180,19;3180,19
Tesouro IGPM+ com Juros Semestrais;01/01/2031;09/01/2025;7,65;7,77;7852,66;7809,03;7809,03
Tesouro Prefixado com Juros Semestrais;01/01/2031;09/01/2025;15,13;15,25;817,63;813,39;813,39
Tesouro Prefixado com Juros Semestrais;01/01/2033;09/01/2025;14,89;15,01;791,2;786,36;786,36
Tesouro Prefixado com Juros Semestrais;01/01/2035;09/01/2025;14,73;14,85;772,56;767,3;767,3
Tesouro Prefixado com Juros Semestrais;01/01/2027;09/01/2025;15,23;15,35;921,8;919,53;919,53
Tesouro Prefixado com Juros Semestrais;01/01/2029;09/01/2025;15,27;15,39;859,93;856,5;856,5
Tesouro Educa+;15/12/2045;03/12/2024;6,7;6,82;1324,68;1297,18;1297,18
Tesouro Educa+;15/12/2040;03/12/2024;6,73;6,85;1822,41;1794,61;1794,61
Tesouro Educa+;15/12/2046;03/12/2024;6,71;6,83;1239,78;1212,7;1212,7
Tesouro Educa+;15/12/2044;03/12/2024;6,7;6,82;1412,91;1385,13;1385,13
Tesouro Educa+;15/12/2034;03/12/2024;6,96;7,08;2644,82;2622,01;2622,01
Tesouro Educa+;15/12/2041;03/12/2024;6,71;6,83;1712,61;1684,59;1684,59
Tesouro Educa+;15/12/2043;03/12/2024;6,7;6,82;1507,12;1479,15;1479,15
Tesouro Educa+;15/12/2038;03/12/2024;6,8;6,92;2058,75;2031,89;2031,89
Tesouro Educa+;15/12/2030;03/12/2024;7,11;7,23;3439,78;3425,37;3425,37
Tesouro Educa+;15/12/2036;03/12/2024;6,88;7;2329,57;2304,32;2304,32
Tesouro Educa+;15/12/2037;03/12/2024;6,84;6,96;2188,99;2162,84;2162,84
Tesouro Educa+;15/12/2031;03/12/2024;7,09;7,21;3215,84;3198,82;3198,82
Tesouro Educa+;15/12/2042;03/12/2024;6,7;6,82;1607,73;1579,65;1579,65
Tesouro Educa+;15/12/2039;03/12/2024;6,76;6,88;1937,67;1910,25;1910,25
Tesouro Selic;01/03/2027;02/12/2024;0,04;0,05;15676,28;15666,15;15666,15
;;;;;;;
Tesouro Selic;01/03/2029;02/12/2024;0,11;0,12;15615,09;15601,85;15601,85
;;;;;;;
Tesouro Prefixado;01/01/2029;02/12/2024;13,86;13,98;591,33;588,5;588,5
Tesouro Prefixado;01/01/2031;02/12/2024;13,72;13,84;460,24;457,08;457,08
;;;;;;;
;;;;;;;
Tesouro Prefixado;01/01/2027;02/12/2024;14,03;14,15;762,28;760,22;760,22
;;;;;;;
Tesouro IPCA+ com Juros Semestrais;15/05/2055;02/12/2024;6,79;6,91;3968,74;3907,43;3907,43
Tesouro IPCA+ com Juros Semestrais;15/05/2035;02/12/2024;6,93;7,05;4103,27;4066,17;4066,17
Tesouro IPCA+ com Juros Semestrais;15/08/2032;02/12/2024;7,04;7,16;4194,61;4164,47;4164,47
Tesouro IPCA+ com Juros Semestrais;15/05/2045;02/12/2024;6,81;6,93;4020,02;3966,51;3966,51
Tesouro IPCA+ com Juros Semestrais;15/08/2030;02/12/2024;7,1;7,22;4238,31;4214,08;4214,08
Tesouro IPCA+ com Juros Semestrais;15/08/2050;02/12/2024;6,8;6,92;4051,05;3992,73;3992,73
Tesouro IPCA+ com Juros Semestrais;15/08/2040;02/12/2024;6,81;6,93;4129,35;4081,93;4081,93
Tesouro IPCA+;15/05/2029;02/12/2024;7,16;7,28;3219,05;3201,96;3201,96
;;;;;;;
Tesouro IPCA+;15/05/2045;02/12/2024;6,75;6,87;1157,86;1131,3;1131,3
Tesouro IPCA+;15/05/2035;02/12/2024;6,88;7;2189,15;2162,99;2162,99
Tesouro IGPM+ com Juros Semestrais;01/01/2031;02/12/2024;7,09;7,21;8277,59;8231,43;8231,43
Tesouro Prefixado com Juros Semestrais;01/01/2027;02/12/2024;14,03;14,15;975,22;972,83;972,83
Tesouro Prefixado com Juros Semestrais;01/01/2031;02/12/2024;13,71;13,83;901,31;896,71;896,71
;;;;;;;
Tesouro Prefixado com Juros Semestrais;01/01/2029;02/12/2024;13,85;13,97;932,31;928,65;928,65
Tesouro Prefixado com Juros Semestrais;01/01/2033;02/12/2024;13,54;13,66;880,66;875,35;875,35
Tesouro Prefixado com Juros Semestrais;01/01/2035;02/12/2024;13,44;13,56;865,3;859,47;859,47
Tesouro Renda+ Aposentadoria Extra;15/12/2074;02/12/2024;6,75;6,87;347,03;332,5;332,5
Tesouro Renda+ Aposentadoria Extra;15/12/2059;02/12/2024;6,74;6,86;920,85;897,21;897,21
Tesouro Renda+ Aposentadoria Extra;15/12/2079;02/12/2024;6,76;6,88;249,81;238,02;238,02
Tesouro Renda+ Aposentadoria Extra;15/12/2069;02/12/2024;6,74;6,86;481,6;464,03;464,03
Tesouro Renda+ Aposentadoria Extra;15/12/2084;02/12/2024;6,76;6,88;180,48;171,01;171,01
Tesouro Renda+ Aposentadoria Extra;15/12/2049;02/12/2024;6,82;6,94;1744,14;1718,5;1718,5
Tesouro Renda+ Aposentadoria Extra;15/12/2064;02/12/2024;6,74;6,86;665,99;645,28;645,28
Tesouro Renda+ Aposentadoria Extra;15/12/2054;02/12/2024;6,75;6,87;1271,34;1245,65;1245,65
Tesouro Educa+;15/12/2044;02/12/2024;6,74;6,86;1403,24;1375,66;1375,66
Tesouro Educa+;15/12/2034;02/12/2024;7,02;7,14;2632,89;2610,19;2610,19
Tesouro Educa+;15/12/2041;02/12/2024;6,76;6,88;1700,51;1672,7;1672,7
Tesouro Educa+;15/12/2043;02/12/2024;6,74;6,86;1497,37;1469,58;1469,58
Tesouro Educa+;15/12/2038;02/12/2024;6,84;6,96;2049,25;2022,51;2022,51
Tesouro Educa+;15/12/2030;02/12/2024;7,19;7,31;3429,73;3415,35;3415,35
Tesouro Educa+;15/12/2036;02/12/2024;6,93;7,05;2318,5;2293,37;2293,37
Tesouro Educa+;15/12/2037;02/12/2024;6,89;7,01;2177,58;2151,57;2151,57
Tesouro Educa+;15/12/2031;02/12/2024;7,16;7,28;3205,38;3188,41;3188,41
Tesouro Educa+;15/12/2042;02/12/2024;6,75;6,87;1595,63;1567,77;1567,77
Tesouro Educa+;15/12/2039;02/12/2024;6,81;6,93;1925,78;1898,53;1898,53
Tesouro Educa+;15/12/2035;02/12/2024;6,97;7,09;2470,55;2446,5;2446,5
Tesouro Educa+;15/12/2032;02/12/2024;7,11;7,23;2999,95;2980,73;2980,73
Tesouro Educa+;15/12/2033;02/12/2024;7,06;7,18;2810,34;2789,22;2789,22
Tesouro Educa+;15/12/2045;02/12/2024;6,74;6,86;1315,12;1287,83;1287,83
Tesouro Educa+;15/12/2046;02/12/2024;6,74;6,86;1232,62;1205,69;1205,69
Tesouro Educa+;15/12/2040;02/12/2024;6,78;6,9;1810,38;1782,77;1782,77
Tesouro Selic;01/03/2027;29/11/2024;0,04;0,05;15669,48;15659,34;15659,34
;;;;;;;
Tesouro Selic;01/03/2029;29/11/2024;0,11;0,12;15608,01;15594,77;15594,77
;;;;;;;
Tesouro Prefixado;01/01/2029;29/11/2024;14,23;14,35;583,3;580,52;580,52
;;;;;;;
Tesouro Prefixado;01/01/2027;29/11/2024;14,31;14,43;758,02;755,97;755,97
;;;;;;;
Tesouro Prefixado;01/01/2031;29/11/2024;14,13;14,25;450,11;447,03;447,03
Tesouro IPCA+ com Juros Semestrais;15/08/2030;29/11/2024;7,33;7,45;4193,5;4168,64;4168,64
Tesouro IPCA+ com Juros Semestrais;15/08/2032;29/11/2024;7,28;7,4;4136,18;4105,63;4105,63
Tesouro IPCA+ com Juros Semestrais;15/05/2055;29/11/2024;7,01;7,13;3858,69;3799,22;3799,22
Tesouro IPCA+ com Juros Semestrais;15/08/2040;29/11/2024;7,02;7,14;4047,99;4000,94;4000,94
;;;;;;;
Tesouro IPCA+ com Juros Semestrais;15/05/2035;29/11/2024;7,16;7,28;4033,93;3996,71;3996,71
Tesouro IPCA+ com Juros Semestrais;15/05/2045;29/11/2024;7,03;7,15;3923,91;3871,34;3871,34
Tesouro IPCA+ com Juros Semestrais;15/08/2050;29/11/2024;7,01;7,13;3950,95;3893,96;3893,96
Tesouro IPCA+;15/05/2035;29/11/2024;7,12;7,24;2137,97;2111,98;2111,98
;;;;;;;
Tesouro IPCA+;15/05/2045;29/11/2024;6,97;7,09;1110;1084,34;1084,34
Tesouro IPCA+;15/05/2029;29/11/2024;7,37;7,49;3190,13;3172,49;3172,49
Tesouro IGPM+ com Juros Semestrais;01/01/2031;29/11/2024;7,32;7,44;8193,72;8141,33;8141,33
Tesouro IPCA+ com Juros Semestrais;15/08/2060;24/03/2025;7,31;7,43;3794,87;3736,58;3736,58
;;;;;;;
Tesouro IPCA+ com Juros Semestrais;15/08/2030;24/03/2025;7,73;7,85;4182,52;4159,13;4159,13
Tesouro IPCA+ com Juros Semestrais;15/08/2032;24/03/2025;7,7;7,82;4097,7;4068,68;4068,68
Tesouro IPCA+ com Juros Semestrais;15/05/2035;24/03/2025;7,53;7,65;4112,33;4076,62;4076,62
Tesouro IPCA+ com Juros Semestrais;15/08/2040;24/03/2025;7,41;7,53;3954,34;3909,48;3909,48
Tesouro IPCA+ com Juros Semestrais;15/05/2045;24/03/2025;7,39;7,51;3951,75;3901,59;3901,59
Tesouro IPCA+ com Juros Semestrais;15/08/2050;24/03/2025;7,3;7,42;3864,65;3810,01;3810,01
Tesouro IPCA+;15/05/2029;24/03/2025;7,75;7,87;3290,27;3273,67;3273,67
Tesouro IPCA+;15/05/2035;24/03/2025;7,46;7,58;2165,46;2140,23;2140,23
Tesouro IPCA+;15/08/2050;24/03/2025;7,13;7,25;786,09;763,84;763,84
Tesouro IPCA+;15/05/2045;24/03/2025;7,3;7,42;1090,86;1066,22;1066,22
;;;;;;;
Tesouro IPCA+;15/08/2040;24/03/2025;7,31;7,43;1518,05;1491,59;1491,59
Tesouro IGPM+ com Juros Semestrais;01/01/2031;24/03/2025;7,74;7,86;8023,27;7982,33;7982,33
Tesouro Prefixado com Juros Semestrais;01/01/2033;24/03/2025;14,71;14,83;819,9;815,04;815,04
Tesouro Prefixado com Juros Semestrais;01/01/2029;24/03/2025;14,59;14,71;900,92;897,51;897,51
Tesouro Prefixado com Juros Semestrais;01/01/2027;24/03/2025;14,7;14,82;955,22;953,08;953,08
Tesouro Prefixado com Juros Semestrais;01/01/2035;24/03/2025;14,76;14,88;792,71;787,47;787,47
Tesouro Prefixado com Juros Semestrais;01/01/2031;24/03/2025;14,77;14,89;852,11;847,85;847,85
Tesouro Renda+ Aposentadoria Extra;15/12/2059;24/03/2025;7,21;7,33;871,18;849,24;849,24
Tesouro Renda+ Aposentadoria Extra;15/12/2049;24/03/2025;7,38;7,5;1706,5;1682,25;1682,25
Tesouro Renda+ Aposentadoria Extra;15/12/2084;24/03/2025;7,21;7,33;154,46;146,44;146,44
Tesouro Renda+ Aposentadoria Extra;15/12/2064;24/03/2025;7,17;7,29;622,8;603,74;603,74
Tesouro Renda+ Aposentadoria Extra;15/12/2079;24/03/2025;7,2;7,32;219,17;208,95;208,95
Tesouro Renda+ Aposentadoria Extra;15/12/2074;24/03/2025;7,18;7,3;311,83;298,94;298,94
Tesouro Renda+ Aposentadoria Extra;15/12/2069;24/03/2025;7,16;7,28;442,8;426,86;426,86
Tesouro Renda+ Aposentadoria Extra;15/12/2054;24/03/2025;7,27;7,39;1219,45;1195,41;1195,41
Tesouro Educa+;15/12/2039;24/03/2025;7,39;7,51;1884,23;1858,17;1858,17
Tesouro Educa+;15/12/2035;24/03/2025;7,56;7,68;2469,27;2445,97;2445,97
Tesouro Educa+;15/12/2040;24/03/2025;7,36;7,48;1761,62;1735,32;1735,32
Tesouro Educa+;15/12/2046;24/03/2025;7,29;7,41;1167,25;1142,17;1142,17
Tesouro Educa+;15/12/2036;24/03/2025;7,51;7,63;2306,28;2281,98;2281,98
Tesouro Educa+;15/12/2037;24/03/2025;7,46;7,58;2156,2;2131,11;2131,11
Tesouro Educa+;15/12/2031;24/03/2025;7,76;7,88;3275,34;3258,89;3258,89
Tesouro Educa+;15/12/2043;24/03/2025;7,31;7,43;1435,57;1409,42;1409,42
Tesouro Educa+;15/12/2038;24/03/2025;7,42;7,54;2016,04;1990,36;1990,36
Tesouro Educa+;15/12/2034;24/03/2025;7,61;7,73;2646,42;2624,37;2624,37
Tesouro Educa+;15/12/2033;24/03/2025;7,66;7,78;2839,06;2818,54;2818,54
Tesouro Educa+;15/12/2047;24/03/2025;7,27;7,39;1092,6;1067,94;1067,94
Tesouro Educa+;15/12/2032;24/03/2025;7,71;7,83;3047,96;3029,3;3029,3
Tesouro Educa+;15/12/2042;24/03/2025;7,33;7,45;1535,82;1509,53;1509,53
Tesouro Educa+;15/12/2041;24/03/2025;7,34;7,46;1645,69;1619,32;1619,32
Tesouro Educa+;15/12/2030;24/03/2025;7,88;8;3515,28;3501,5;3501,5
Tesouro Educa+;15/12/2045;24/03/2025;7,3;7,42;1249,65;1224,17;1224,17
Tesouro Educa+;15/12/2044;24/03/2025;7,31;7,43;1338,22;1312,38;1312,38
;;;;;;;
Tesouro Selic;01/03/2027;21/03/2025;0,04;0,05;16237,71;16225,98;16225,98
Tesouro Selic;01/03/2031;21/03/2025;0,11;0,12;16144,22;16126,1;16126,1
Tesouro Selic;01/03/2029;21/03/2025;0,1;0,11;16187,38;16172,44;16172,44
Tesouro Selic;01/03/2028;21/03/2025;0,06;0,07;16223,88;16210,53;16210,53
Tesouro Prefixado;01/01/2027;21/03/2025;14,63;14,75;785,32;783,44;783,44
;;;;;;;
Tesouro Prefixado;01/01/2029;21/03/2025;14,53;14,65;601,24;598,56;598,56
Tesouro Prefixado;01/01/2028;21/03/2025;14,44;14,56;688,62;686,25;686,25
Tesouro Prefixado;01/01/2032;21/03/2025;14,73;14,85;396,17;393,18;393,18
Tesouro Prefixado;01/01/2031;21/03/2025;14,68;14,8;455,67;452,69;452,69
Tesouro IPCA+ com Juros Semestrais;15/05/2045;21/03/2025;7,5;7,62;3905,58;3854,81;3854,81
Tesouro IPCA+ com Juros Semestrais;15/08/2050;21/03/2025;7,4;7,52;3818,74;3763,66;3763,66
